고유 ID,주문 Id,주문 날짜,배송 날짜,배송 형태,고객번호,고객 이름,세그먼트,국가,지역,시도,시군구,제품 코드,범주,하위 범주,매출,수량,수익,할인율
83,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,FUR-TA-10002341,가구,탁자,1955584.8,4,527911.2,0.00 
84,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,OFF-PA-10002976,사무용품,종이,124358.4,4,33537.6,0.00 
85,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,OFF-PA-10003232,사무용품,종이,107773.2,6,49572,0.00 
86,IN-2020-81833,2020-01-31,2020-02-06,일반 배송,BS-21610,정인희,소비자,대한민국,부울경,부산광역시,남구,OFF-LA-10000757,사무용품,라벨,63342,6,18910.8,0.00 
87,IN-2020-18070,2020-01-31,2020-02-05,일반 배송,CB-11560,조희성,홈 오피스,대한민국,충청,충청북도,청주시,OFF-BI-10000089,사무용품,바인더,115668,4,56671.2,0.00 
88,IN-2020-32196,2020-01-31,2020-02-05,일반 배송,JB-17200,최승준,기업 고객,대한민국,호남,전라북도,전주시,FUR-CH-10004065,가구,의자,381373.92,8,25189.92,0.10 
89,IN-2020-32196,2020-01-31,2020-02-05,일반 배송,JB-17200,최승준,기업 고객,대한민국,호남,전라북도,전주시,TEC-MA-10002680,사무기기,전산기기,855364.86,3,123535.26,0.10 
90,IN-2020-36074,2020-02-01,2020-02-05,일반 배송,GG-13150,권지선,기업 고객,대한민국,수도권,경기도,포천시,OFF-AP-10001254,사무용품,가전,359397,5,140148,0.00 
91,ID-2020-56493,2020-02-01,2020-02-03,빠른 배송,GG-20650,김지혜,기업 고객,대한민국,수도권,경기도,안양시,OFF-ST-10002161,사무용품,수납용품,165974.4,3,69676.2,0.00 
92,IN-2020-30733,2020-02-01,2020-02-03,빠른 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,TEC-CO-10002316,사무기기,복사기,291495.6,2,72828,0.00 
93,IN-2020-30733,2020-02-01,2020-02-03,빠른 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-BI-10003012,사무용품,바인더,23103,5,9792,0.00 
94,IN-2020-30733,2020-02-01,2020-02-03,빠른 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-SU-10000484,사무용품,일반 사무용품,41493.6,3,12025.8,0.00 
95,IN-2020-30733,2020-02-01,2020-02-03,빠른 배송,US-18865,최유미,소비자,대한민국,부울경,울산광역시,울주군,OFF-LA-10001292,사무용품,라벨,20746.8,3,10098,0.00 
96,ID-2020-60882,2020-02-02,2020-02-04,빠른 배송,JN-14590,심상재,기업 고객,대한민국,호남,전라남도,보성군,FUR-CH-10003950,가구,의자,340989.57,1,-112135.23,0.27 
97,ID-2020-60882,2020-02-02,2020-02-04,빠른 배송,JN-14590,심상재,기업 고객,대한민국,호남,전라남도,보성군,OFF-LA-10000950,사무용품,라벨,44372.448,6,-26864.352,0.47 
98,ID-2020-60882,2020-02-02,2020-02-04,빠른 배송,JN-14590,심상재,기업 고객,대한민국,호남,전라남도,보성군,OFF-AR-10003554,사무용품,필기구,106973.928,4,-48474.072,0.47 
99,IN-2020-35857,2020-02-02,2020-02-07,일반 배송,DJ-13690,안성욱,소비자,대한민국,충청,대전광역시,유성구,FUR-FU-10001507,가구,가구류,34700.4,2,8078.4,0.10 
100,IN-2020-56990,2020-02-02,2020-02-05,특급 배송,DJ-14080,이승관,기업 고객,대한민국,충청,대전광역시,동구,OFF-AR-10000387,사무용품,필기구,96543,5,43299,0.00 
101,IN-2020-56990,2020-02-02,2020-02-05,특급 배송,DJ-14080,이승관,기업 고객,대한민국,충청,대전광역시,동구,OFF-ST-10000362,사무용품,수납용품,388497.6,3,104835.6,0.00 
102,IN-2020-56990,2020-02-02,2020-02-05,특급 배송,DJ-14080,이승관,기업 고객,대한민국,충청,대전광역시,동구,FUR-BO-10003913,가구,책장,1073356.2,7,107314.2,0.00 
103,IN-2020-56990,2020-02-02,2020-02-05,특급 배송,DJ-14080,이승관,기업 고객,대한민국,충청,대전광역시,동구,FUR-TA-10000665,가구,탁자,706174.56,2,-211886.64,0.30 
104,IN-2020-56990,2020-02-02,2020-02-05,특급 배송,DJ-14080,이승관,기업 고객,대한민국,충청,대전광역시,동구,TEC-MA-10002874,사무기기,전산기기,477482.4,4,114566.4,0.00 
105,IN-2020-35654,2020-02-03,2020-02-08,일반 배송,SE-21160,오진현,기업 고객,대한민국,수도권,서울특별시,서초구,OFF-FA-10002011,사무용품,파스너,30416.4,2,5752.8,0.00 
106,IN-2020-80167,2020-02-04,2020-02-07,특급 배송,SE-12370,나진미,소비자,대한민국,수도권,서울특별시,관악구,TEC-AC-10000212,사무기기,악세사리,449697.6,4,40392,0.00 
107,IN-2020-80167,2020-02-04,2020-02-07,특급 배송,SE-12370,나진미,소비자,대한민국,수도권,서울특별시,관악구,OFF-AP-10003524,사무용품,가전,901476,10,71910,0.00 
108,ID-2020-85396,2020-02-05,2020-02-11,일반 배송,JB-20275,권규태,소비자,대한민국,호남,전라북도,임실군,TEC-CO-10003561,사무기기,복사기,290822.4,2,-106671.6,0.40 
109,IN-2020-40512,2020-02-06,2020-02-13,일반 배송,JJ-17110,노홍익,소비자,대한민국,제주,제주특별자치도,제주시,TEC-PH-10002443,사무기기,전화기,257078.556,2,6158.556,0.17 
110,IN-2020-67021,2020-02-07,2020-02-12,일반 배송,SE-18400,손민,소비자,대한민국,수도권,서울특별시,강남구,OFF-ST-10004871,사무용품,수납용품,188740.8,3,49021.2,0.00 
111,IN-2020-33351,2020-02-07,2020-02-13,일반 배송,GG-13660,조성보,소비자,대한민국,수도권,경기도,수원시,OFF-AP-10003491,사무용품,가전,283723.2,4,136108.8,0.00 
112,IN-2020-33351,2020-02-07,2020-02-13,일반 배송,GG-13660,조성보,소비자,대한민국,수도권,경기도,수원시,OFF-LA-10001672,사무용품,라벨,68299.2,6,8078.4,0.00 
113,IN-2020-36494,2020-02-08,2020-02-13,일반 배송,CB-11095,배현지,기업 고객,대한민국,충청,충청북도,제천시,FUR-FU-10000482,가구,가구류,59333.4,1,16003.8,0.00 
114,IN-2020-36494,2020-02-08,2020-02-13,일반 배송,CB-11095,배현지,기업 고객,대한민국,충청,충청북도,제천시,OFF-SU-10003559,사무용품,일반 사무용품,39657.6,3,8262,0.00 
115,ID-2020-61876,2020-02-09,2020-02-15,일반 배송,SE-12940,나혜원,홈 오피스,대한민국,수도권,서울특별시,중구,FUR-TA-10004050,가구,탁자,206831.52,4,-310308.48,0.80 
116,ID-2020-61876,2020-02-09,2020-02-15,일반 배송,SE-12940,나혜원,홈 오피스,대한민국,수도권,서울특별시,중구,OFF-ST-10003306,사무용품,수납용품,261874.8,4,-209610,0.50 
117,ID-2020-61876,2020-02-09,2020-02-15,일반 배송,SE-12940,나혜원,홈 오피스,대한민국,수도권,서울특별시,중구,TEC-MA-10000684,사무기기,전산기기,25857,1,-21205.8,0.50 
118,ID-2020-61876,2020-02-09,2020-02-15,일반 배송,SE-12940,나혜원,홈 오피스,대한민국,수도권,서울특별시,중구,OFF-BI-10002632,사무용품,바인더,26239.5,1,-12071.7,0.50 
119,ID-2020-55975,2020-02-09,2020-02-13,일반 배송,GG-14005,문승민,홈 오피스,대한민국,수도권,경기도,평택시,FUR-FU-10002223,가구,가구류,139297.32,6,23078.52,0.10 
120,ID-2020-64599,2020-02-10,2020-02-15,일반 배송,US-11965,송소율,기업 고객,대한민국,부울경,울산광역시,울주군,TEC-PH-10000303,사무기기,전화기,7138612.8,11,2998096.2,0.00 
121,ID-2020-64599,2020-02-10,2020-02-15,일반 배송,US-11965,송소율,기업 고객,대한민국,부울경,울산광역시,울주군,OFF-SU-10001407,사무용품,일반 사무용품,313588.8,7,71971.2,0.00 
122,ID-2020-64599,2020-02-10,2020-02-15,일반 배송,US-11965,송소율,기업 고객,대한민국,부울경,울산광역시,울주군,FUR-FU-10003198,가구,가구류,205509.6,4,24602.4,0.00 
123,IN-2020-61050,2020-02-10,2020-02-13,특급 배송,SE-14305,오승리,소비자,대한민국,수도권,서울특별시,광진구,FUR-CH-10003354,가구,의자,310804.2,7,2998.8,0.00 
124,ID-2020-28661,2020-02-10,2020-02-13,빠른 배송,CN-18010,조익현,기업 고객,대한민국,충청,충청남도,보령시,OFF-SU-10000178,사무용품,일반 사무용품,9348.3,1,-7879.5,0.50 
125,IN-2020-60917,2020-02-11,2020-02-15,일반 배송,GW-20860,손소유,기업 고객,대한민국,강원,강원도,철원군,OFF-BI-10001659,사무용품,바인더,22215.6,3,3947.4,0.00 
126,IN-2020-73734,2020-02-12,2020-02-19,일반 배송,SE-17890,허춘삼,홈 오피스,대한민국,수도권,서울특별시,성북구,OFF-BI-10004440,사무용품,바인더,14106.6,1,3366,0.00 
127,IN-2020-11350,2020-02-13,2020-02-17,일반 배송,GG-21310,남주석,소비자,대한민국,수도권,경기도,여주시,FUR-FU-10002598,가구,가구류,149542.2,3,62791.2,0.00 
128,IN-2020-11350,2020-02-13,2020-02-17,일반 배송,GG-21310,남주석,소비자,대한민국,수도권,경기도,여주시,OFF-AR-10003613,사무용품,필기구,259029,5,77571,0.00 
129,IN-2020-22662,2020-02-14,2020-02-16,빠른 배송,CB-13270,박창원,홈 오피스,대한민국,충청,충청북도,괴산군,OFF-FA-10003318,사무용품,파스너,58843.8,3,5232.6,0.00 
130,IN-2020-22662,2020-02-14,2020-02-16,빠른 배송,CB-13270,박창원,홈 오피스,대한민국,충청,충청북도,괴산군,TEC-PH-10001640,사무기기,전화기,74511,1,30538.8,0.00 
131,IN-2020-85284,2020-02-14,2020-02-18,일반 배송,GB-16405,현호섭,홈 오피스,대한민국,대경권,경상북도,경주시,TEC-PH-10001187,사무기기,전화기,619466.4,4,117626.4,0.00 
132,IN-2020-85284,2020-02-14,2020-02-18,일반 배송,GB-16405,현호섭,홈 오피스,대한민국,대경권,경상북도,경주시,OFF-ST-10000210,사무용품,수납용품,414568.8,2,182376,0.00 
133,IN-2020-85284,2020-02-14,2020-02-18,일반 배송,GB-16405,현호섭,홈 오피스,대한민국,대경권,경상북도,경주시,OFF-BI-10004121,사무용품,바인더,27295.2,4,5140.8,0.00 
134,IN-2020-85284,2020-02-14,2020-02-18,일반 배송,GB-16405,현호섭,홈 오피스,대한민국,대경권,경상북도,경주시,OFF-SU-10000079,사무용품,일반 사무용품,159120,4,27050.4,0.00 
135,IN-2020-75890,2020-02-15,2020-02-19,일반 배송,GG-15475,봉문주,소비자,대한민국,수도권,경기도,양주시,FUR-BO-10004852,가구,책장,1778839.2,4,658144.8,0.00 
136,ID-2020-47575,2020-02-15,2020-02-21,일반 배송,IC-12385,심초롱,소비자,대한민국,수도권,인천광역시,미추홀구,TEC-CO-10000865,사무기기,복사기,1259991.72,6,-465297.48,0.35 
